Operator	Comment	Key	Translation
Message		(What is it...? Something's different...)	(¿Qué pasa...? Algo es diferente…)
Message		(Could it be... Tohka?)	(¿Podría ser... Tohka?)
Message		"(She's eating politely, and she hasn't fought
with Origami since she started... Could it be that
I messed up the food, gluing her mouth together?)"	"(Está comiendo con educación y no ha discutido con
Origami desde que comenzó... ¿Será que cometí
un error con la comida?)"
Message	Shido	Tohka, is something wrong?	Tohka, ¿pasa algo?
Message	Tohka	Hm? What is it, Shido?	¿Qué? ¿Qué pasa, Shido?
Message	Shido	W-Well... Did I mess up the bento somehow?	B-Bueno... ¿He estropeado el bento de alguna manera?
Message	Tohka	"Hm? No, that isn't so. The spiciness of this
burdock root is perfect."	"¿Hm? No, no es así. El picante de
esta raíz de bardana es perfecto."
Message	Shido	I see... As long as that's the case.	Ya veo... Mientras ese sea el caso.
Message		"(Hmmm... She didn't look like she was lying.
Oh, I gave some of my bento to Origami too,
so if I can see how she's doing...)"	"(Hmmm... No parecía que estuviera mintiendo. Oh,
le di algo de mi bento a Origami también,
así que si puedo ver cómo le va...)"
Message	Origami	"The food that Shido made... I'll have to memorize
its smell..."	"La comida que hizo Shido…
Tendré que memorizar su olor..."
Message	Shido	O-Origami...?	¿O-Origami...?
Message	Origami	...!	¡...!
Message	Shido	"A-Are you all right?! Was my
bento not to your tastes?"	"¡¿Estás bien?!
¿Mi bento no era de tu gusto?"
Message	Origami	...There is no problem here.	...Aquí no hay ningún problema.
Message	Shido	I see... That's good, then...	Ya veo... Eso es bueno, entonces...
Message	Rinne	Hehe... Something's a little different today.	Jeje... Algo es un poco diferente hoy.
Message	Shido	R-Right? You think so too, right Rinne?	¿Verdad? Tú también lo crees, ¿verdad Rinne?
Message	Rinne	"Shido, girls are more complex than you think.
You have to pay attention to them more carefully.
That sort of thing is really important, you know?"	"Shido, las chicas son más complejas de lo que crees.
Tienes que prestarles más atención.
Ese tipo de cosas son muy importantes, ¿sabes?"
Message	Shido	Er, ah, right... Wait, what do you mean?	Er, ah, cierto... Espera, ¿qué quieres decir?
Message	Rinne	It's nothing. My goodness, Shido...	No es nada. Dios mío, Shido...
Message	Shido	...?	...?
