Operator	Comment	Key	Translation
Message	Shido	"Breakfast is all good... and so is lunch.
Looks like I'm done with today's preparations."	"El desayuno está bien... y el almuerzo también.
Parece que he terminado con los preparativos de hoy."
Message	Shido	"...Yoshino, thanks for helping
with breakfast today."	"...Yoshino, gracias por ayudarme
hoy con el desayuno."
Message	Yoshino	...Y-Yes.	...S-Sí.
Message	Shido	I guess I'll call for everyone, then.	Supongo que llamaré a todos, entonces.
Message	Shido	...Hmm?	...¿Hmm?
Message	Yoshino	......	......
Message	Yoshinon	......	......
Message		"(Is Yoshino staying in the kitchen?
What is she doing with Yoshinon?)"	"(¿Yoshino se queda en la cocina?
¿Qué hace con Yoshinon?)"
Message	Yoshino	......	......
Message	Yoshinon	......	......
Message	Shido	Heeey, Yoshino? It's breakfast time...	Heeey, ¿Yoshino? Es la hora del desayuno...
Message	Yoshino	Y-Yes. I-I'll... be right there.	S-Sí. Ya... ya voy.
Message	Shido	...?	...?
